548	563	Call	snl	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 30		MK_DT1_54
563	565	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 30		MK_DT1_55
565	578	Call	snl	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 30		MK_DT1_56
578	590	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 30		MK_DT1_57
590	600	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.	zn at 9.50/9.56	20	BK 30		MK_DT1_58
600	601	Call	sn	Kwang	KM002	gt	04/20/1995		n.v.g.r.	very noisy BK	20	BK 30 b.r.		MK_DT1_59
601	605	Call	cc	Kwang	K????	fo	04/20/1995		n.v.g.r.	very noisy BK	20	BK 30 b.r.		MK_DT1_60
605	612	Call	explan	Kwang	KM002		04/20/1995		g.r.					MK_DT1_61
612	630	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_62
630	634	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_63
634	648	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_64
648	650	Call	sn	Kwang	KM002	gt	04/20/1995		n.v.g.r.	very noisy BK	20	BK 40 b.r.		MK_DT1_65
650	658	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_66
658	662	Call	snl	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_67
662	667	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 40		MK_DT1_68
667	676	Call	explan	Kwang	KM002		04/20/1995		g.r.					MK_DT1_69
676	696	Call	cc	Kwang	K????	fo	04/20/1995		g.r.		20	BK 50		MK_DT1_70
696	701	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_71
701	709	Call	explan	Kwang	KM002		04/20/1995		g.r.	explanation				MK_DT1_72
709	715	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_73
715	721	Call	sn	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_74
721	736	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.	zn at 12.01/12.04/12.09/12.11/12.14	20	BK 50		MK_DT1_75
736	739	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.	almost tn	20	BK 50		MK_DT1_76
739	758	Call	zn	Kwang	KM002	gt	04/20/1995		g.r.	zn at 12.19/12.31/12.36	20	BK 50		MK_DT1_77
758	762	Call	sn	Kwang	KM002	gt	04/20/1995		n.v.g.r.	very noisy BK	20	BK 50		MK_DT1_78
762	766	Call	snl	Kwang	KM002	gt	04/20/1995		g.r.		20	BK 50		MK_DT1_79
